grid_id,cctv_count
G-001,7
G-002,0
G-003,1
G-004,0
G-005,0
G-006,150
G-007,3
G-008,0
G-009,0
G-010,0
G-011,0
G-012,6
G-013,3
G-014,1
G-015,0
G-016,0
G-017,0
G-018,4
G-019,6
G-020,0
G-021,13
G-022,0
G-023,2
G-024,6
G-025,2
G-026,0
G-027,0
G-028,0
G-029,11
G-030,1
G-031,2
G-032,1
G-033,2
G-034,0
G-035,2
G-036,0
G-037,0
G-038,7
G-039,0
G-040,6
G-041,4
G-042,0
G-043,4
G-044,0
G-045,0
G-046,0
G-047,0
G-048,0
G-049,0
G-050,2
G-051,27
G-052,0
G-053,13
G-054,0
G-055,2
G-056,0
G-057,0
G-058,2
G-059,0
G-060,9
G-061,3
G-062,0
G-063,0
G-064,2
G-065,0
G-066,2
G-067,0
G-068,0
G-069,3
G-070,2
G-071,0
G-072,1
G-073,18
G-074,0
G-075,5
G-076,7
G-077,0
G-078,5
G-079,2
G-080,2
G-081,19
G-082,7
G-083,1
G-084,3
G-085,1
G-086,1
G-087,2
G-088,2
G-089,0
G-090,0
G-091,0
G-092,1
G-093,3
G-094,1
G-095,4
G-096,0
G-097,14
G-098,0
G-099,0
G-100,5
G-101,1
G-102,1
G-103,0
G-104,8
G-105,3
G-106,5
G-107,0
G-108,0
G-109,2
G-110,3
G-111,5
G-112,2
G-113,0
G-114,3
G-115,0
G-116,0
G-117,0
G-118,0
G-119,61
G-120,2
G-121,2
G-122,4
G-123,0
G-124,0
G-125,14
G-126,1
G-127,0
G-128,3
G-129,2
G-130,0
G-131,13
G-132,0
G-133,9
G-134,42
G-135,0
G-136,2
G-137,6
G-138,2
G-139,1
G-140,0
G-141,2
G-142,1
G-143,2
G-144,8
G-145,1
G-146,3
G-147,2
G-148,2
G-149,3
G-150,1
G-151,1
G-152,9
G-153,3
G-154,116
G-155,0
G-156,0
G-157,0
G-158,0
G-159,0
G-160,0
G-161,0
G-162,0
G-163,0
G-164,0
G-165,0
G-166,0
G-167,0
G-168,0
G-169,0
G-170,0
G-171,0
G-172,0
G-173,0
G-174,0
G-175,0
G-176,0
G-177,0
G-178,0
G-179,0
G-180,0
G-181,0
G-182,0
G-183,0
G-184,0
G-185,0
G-186,0
G-187,0
G-188,0
G-189,0
G-190,0
G-191,0
G-192,0
G-193,0
G-194,0
G-195,0
G-196,0
G-197,0
G-198,0
G-199,0
G-200,0
G-201,0
G-202,0
G-203,0
G-204,0
G-205,0
G-206,0
G-207,0
G-208,0
G-209,0
G-210,0
