date,night_risk,trend,seasonal,residual,month
2023-03-01,0.0,0.0987,-0.0963,-0.0024,3
2023-03-02,0.0,0.0986,-0.0962,-0.0024,3
2023-03-03,0.0,0.0986,-0.0966,-0.002,3
2023-03-04,0.0,0.0985,-0.0966,-0.002,3
2023-03-05,0.2,0.0985,0.1038,-0.0023,3
2023-03-06,0.0,0.0985,-0.0965,-0.002,3
2023-03-07,0.0,0.0984,-0.0965,-0.0019,3
2023-03-08,0.0,0.0984,-0.0961,-0.0023,3
2023-03-09,0.0,0.0984,-0.0961,-0.0022,3
2023-03-10,0.3,0.0983,0.2039,-0.0022,3
2023-03-11,0.0,0.0983,-0.0961,-0.0022,3
2023-03-12,0.2,0.0983,0.1039,-0.0022,3
2023-03-13,0.0,0.0982,-0.096,-0.0022,3
2023-03-14,0.0,0.0982,-0.0963,-0.0018,3
2023-03-15,0.0,0.0981,-0.0963,-0.0018,3
2023-03-16,0.0,0.0981,-0.0963,-0.0018,3
2023-03-17,0.0,0.0981,-0.0963,-0.0018,3
2023-03-18,0.0,0.098,-0.0962,-0.0018,3
2023-03-19,0.0,0.098,-0.0959,-0.0021,3
2023-03-20,0.3,0.098,0.2041,-0.0021,3
2023-03-21,0.4,0.0979,0.3041,-0.002,3
2023-03-22,0.0,0.0979,-0.0959,-0.002,3
2023-03-23,0.4,0.0979,0.3041,-0.002,3
2023-03-24,0.1,0.0978,0.0042,-0.002,3
2023-03-25,0.0,0.0978,-0.0958,-0.002,3
2023-03-26,0.0,0.0977,-0.0958,-0.002,3
2023-03-27,0.0,0.0977,-0.0958,-0.0019,3
2023-03-28,0.0,0.0977,-0.0958,-0.0019,3
2023-03-29,0.0,0.0976,-0.096,-0.0017,3
2023-03-30,0.0,0.0976,-0.0957,-0.0019,3
2023-03-31,0.0,0.0976,-0.0959,-0.0016,3
2023-04-01,0.0,0.0975,-0.0957,-0.0018,4
2023-04-02,0.0,0.0975,-0.0957,-0.0018,4
2023-04-03,0.0,0.0975,-0.0956,-0.0018,4
2023-04-04,0.0,0.0974,-0.0958,-0.0016,4
2023-04-05,0.4,0.0974,0.3044,-0.0018,4
2023-04-06,0.4,0.0973,0.3044,-0.0018,4
2023-04-07,0.4,0.0973,0.3042,-0.0015,4
2023-04-08,0.0,0.0973,-0.0955,-0.0017,4
2023-04-09,0.0,0.0972,-0.0955,-0.0017,4
2023-04-10,0.0,0.0972,-0.0955,-0.0017,4
2023-04-11,0.0,0.0972,-0.0957,-0.0015,4
2023-04-12,0.1,0.0971,0.0045,-0.0017,4
2023-04-13,0.0,0.0971,-0.0956,-0.0015,4
2023-04-14,0.0,0.097,-0.0954,-0.0016,4
2023-04-15,0.0,0.097,-0.0954,-0.0016,4
2023-04-16,0.0,0.097,-0.0954,-0.0016,4
2023-04-17,0.0,0.0969,-0.0955,-0.0014,4
2023-04-18,0.0,0.0969,-0.0953,-0.0016,4
2023-04-19,0.4,0.0969,0.3047,-0.0015,4
2023-04-20,0.5,0.0968,0.4047,-0.0015,4
2023-04-21,0.4,0.0968,0.3047,-0.0015,4
2023-04-22,0.0,0.0968,-0.0954,-0.0014,4
2023-04-23,0.0,0.0967,-0.0954,-0.0014,4
2023-04-24,0.0,0.0967,-0.0952,-0.0015,4
2023-04-25,0.0,0.0966,-0.0952,-0.0014,4
2023-04-26,0.1,0.0966,0.0048,-0.0014,4
2023-04-27,0.0,0.0966,-0.0952,-0.0014,4
2023-04-28,0.0,0.0965,-0.0951,-0.0014,4
2023-04-29,0.0,0.0965,-0.0952,-0.0013,4
2023-04-30,0.0,0.0965,-0.0951,-0.0014,4
2023-05-01,0.0,0.0964,-0.0951,-0.0014,5
2023-05-02,0.0,0.0964,-0.095,-0.0013,5
2023-05-03,0.0,0.0963,-0.095,-0.0013,5
2023-05-04,0.0,0.0963,-0.0951,-0.0012,5
2023-05-05,0.0,0.0963,-0.095,-0.0013,5
2023-05-06,0.3,0.0962,0.205,-0.0013,5
2023-05-07,0.3,0.0962,0.2051,-0.0013,5
2023-05-08,0.3,0.0962,0.2051,-0.0012,5
2023-05-09,0.2,0.0961,0.1051,-0.0012,5
2023-05-10,0.0,0.0961,-0.0949,-0.0012,5
2023-05-11,0.1,0.096,0.0051,-0.0012,5
2023-05-12,0.0,0.096,-0.0948,-0.0012,5
2023-05-13,0.0,0.096,-0.0948,-0.0011,5
2023-05-14,0.0,0.0959,-0.0948,-0.0011,5
2023-05-15,0.1,0.0959,0.0052,-0.0011,5
2023-05-16,0.0,0.0959,-0.0947,-0.0011,5
2023-05-17,0.0,0.0958,-0.0947,-0.0011,5
